x,y,edgeDistance,duration,movement,pressure,width,speed,pointerType,label
164,218,116,194,2,0.53,0.87,10.31,mouse,intentional
211,128,69,86,0,0.46,0.96,0.0,mouse,intentional
135,238,135,229,0,0.53,0.94,0.0,mouse,intentional
149,313,131,188,4,0.47,1.16,21.28,mouse,intentional
76,220,76,180,10,0.52,1.21,55.56,mouse,intentional
152,416,99,206,2,0.49,0.88,9.71,mouse,intentional
86,170,86,141,4,0.59,1.05,28.37,mouse,intentional
51,155,51,200,2,0.57,0.73,10.0,mouse,intentional
4,500,4,221,69,0.66,1.08,312.22,mouse,accidental
187,492,23,180,21,0.84,1.43,116.67,mouse,accidental
262,396,18,206,27,0.56,1.27,131.07,mouse,accidental
188,5,5,625,51,0.47,1.57,81.6,mouse,accidental
276,513,2,354,68,0.53,1.72,192.09,mouse,accidental
236,9,9,870,38,0.58,1.77,43.68,mouse,accidental
42,497,18,451,46,0.36,1.49,102.0,mouse,accidental
4,252,4,802,2,0.46,0.79,2.49,mouse,accidental
236,511,4,510,28,0.53,1.36,54.9,mouse,accidental
202,9,9,705,51,0.6,1.47,72.34,mouse,accidental
215,17,17,530,27,0.46,0.99,50.94,mouse,accidental
107,498,17,354,33,0.59,1.32,93.22,mouse,accidental
259,4,4,712,31,0.47,1.46,43.54,mouse,accidental
265,158,15,231,33,0.58,1.03,142.86,mouse,accidental
177,17,17,843,66,0.52,1.41,78.29,mouse,accidental
144,508,7,295,27,0.42,1.51,91.53,mouse,accidental
205,20,20,365,40,0.74,0.93,109.59,mouse,accidental
258,148,22,950,2,0.4,1.17,2.11,mouse,accidental
137,511,4,603,2,0.61,1.13,3.32,mouse,accidental
181,492,23,411,19,0.61,1.53,46.23,mouse,accidental
0,28,0,668,9,0.58,0.87,13.47,mouse,accidental
271,398,9,372,2,0.64,1.37,5.38,mouse,accidental
65,492,23,453,35,0.58,1.11,77.26,mouse,accidental
148,0,0,432,24,0.71,0.99,55.56,mouse,accidental
276,269,4,1110,24,0.32,1.21,21.62,mouse,accidental
257,141,23,508,7,0.62,1.46,13.78,mouse,accidental
272,218,8,1001,39,0.51,1.26,38.96,mouse,accidental
33,504,11,180,39,0.5,1.85,216.67,mouse,accidental
258,53,22,307,49,0.59,1.04,159.61,mouse,accidental
279,326,1,816,26,0.35,1.29,31.86,mouse,accidental
151,24,24,532,2,0.36,1.44,3.76,mouse,accidental
262,272,18,180,54,0.58,1.09,300.0,mouse,accidental
67,497,18,626,94,0.6,1.42,150.16,mouse,accidental
269,403,11,729,50,0.7,1.14,68.59,mouse,accidental
275,345,5,454,23,0.64,1.75,50.66,mouse,accidental
119,506,9,456,42,0.52,1.59,92.11,mouse,accidental
268,508,7,377,2,0.43,1.03,5.31,mouse,accidental
6,265,6,794,28,0.43,1.28,35.26,mouse,accidental
16,512,3,349,48,0.52,1.49,137.54,mouse,accidental
42,0,0,704,9,0.55,1.24,12.78,mouse,accidental
267,15,13,700,26,0.43,1.27,37.14,mouse,accidental
260,166,20,180,2,0.44,1.74,11.11,mouse,accidental
92,6,6,299,7,0.6,1.32,23.41,mouse,accidental
169,491,24,508,41,0.57,1.53,80.71,mouse,accidental
8,493,8,180,60,0.69,0.99,333.33,mouse,accidental
17,437,17,571,58,0.77,1.45,101.58,mouse,accidental
216,514,1,552,27,0.43,1.91,48.91,mouse,accidental
254,514,1,799,11,0.65,1.49,13.77,mouse,accidental
15,152,15,689,53,0.63,1.4,76.92,mouse,accidental
18,178,18,568,21,0.4,1.8,36.97,mouse,accidental
273,425,7,606,68,0.55,1.36,112.21,mouse,accidental
271,356,9,637,36,0.39,1.28,56.51,mouse,accidental
4,503,4,746,35,0.58,1.31,46.92,mouse,accidental
116,503,12,311,31,0.46,0.92,99.68,mouse,accidental
7,176,7,180,31,0.67,1.62,172.22,mouse,accidental
237,21,21,558,13,0.42,1.4,23.3,mouse,accidental
189,503,12,791,31,0.4,1.2,39.19,mouse,accidental
258,12,12,505,20,0.58,1.15,39.6,mouse,accidental
26,509,6,461,41,0.58,0.96,88.94,mouse,accidental
74,494,21,866,5,0.3,0.74,5.77,mouse,accidental
245,16,16,524,65,0.23,1.42,124.05,mouse,accidental
278,293,2,301,25,0.46,1.03,83.06,mouse,accidental
27,0,0,954,26,0.78,1.31,27.25,mouse,accidental
20,370,20,529,38,0.59,2.25,71.83,mouse,accidental
162,9,9,763,25,0.49,1.57,32.77,mouse,accidental
263,194,17,611,35,0.59,1.43,57.28,mouse,accidental
8,12,8,333,2,0.54,1.33,6.01,mouse,accidental
96,496,19,732,2,0.5,1.12,2.73,mouse,accidental
261,65,19,328,53,0.56,0.73,161.59,mouse,accidental
22,57,22,547,29,0.54,1.29,53.02,mouse,accidental
252,492,23,305,5,0.42,1.39,16.39,mouse,accidental
263,497,17,455,2,0.35,1.05,4.4,mouse,accidental
268,268,12,558,27,0.68,1.1,48.39,mouse,accidental
13,378,13,655,2,0.6,1.33,3.05,mouse,accidental
19,22,19,413,86,0.52,0.92,208.23,mouse,accidental
9,136,9,313,16,0.6,1.47,51.12,mouse,accidental
6,452,6,804,70,0.61,1.71,87.06,mouse,accidental
93,6,6,480,13,0.56,1.13,27.08,mouse,accidental
267,145,13,512,45,0.52,1.32,87.89,mouse,accidental
263,64,17,648,64,0.75,1.39,98.77,mouse,accidental
268,494,12,530,58,0.65,1.36,109.43,mouse,accidental
0,165,0,657,65,0.58,1.19,98.93,mouse,accidental
52,20,20,634,2,0.34,1.44,3.15,mouse,accidental
232,513,2,294,17,0.71,1.15,57.82,mouse,accidental
174,1,1,639,75,0.57,1.0,117.37,mouse,accidental
80,505,10,542,2,0.52,1.08,3.69,mouse,accidental
266,410,14,487,32,0.58,1.49,65.71,mouse,accidental
16,164,16,320,62,0.5,0.87,193.75,mouse,accidental
11,316,11,213,40,0.64,1.41,187.79,mouse,accidental
163,491,24,241,43,0.51,1.16,178.42,mouse,accidental
7,186,7,944,67,0.54,1.41,70.97,mouse,accidental
41,507,8,576,38,0.65,1.28,65.97,mouse,accidental
263,358,17,689,35,0.59,1.5,50.8,mouse,accidental
258,337,22,716,44,0.4,1.73,61.45,mouse,accidental
19,483,19,320,9,0.56,1.22,28.12,mouse,accidental
214,493,22,686,43,0.59,1.42,62.68,mouse,accidental
151,503,12,469,2,0.55,1.3,4.26,mouse,accidental
17,8,8,811,40,0.49,1.45,49.32,mouse,accidental
112,17,17,766,21,0.65,1.5,27.42,mouse,accidental
91,498,17,764,52,0.56,1.07,68.06,mouse,accidental
